seed,experiment,configuration,F1,AUC
42,A1,Split then scale,0.30612244897959184,0.8819672597459857
42,A1,Scale then split,0.30612244897959184,0.8819672597459857
42,A2,BorderlineSMOTE,0.378698224852071,0.8520146207563539
42,A2,SMOTE,0.3448275862068966,0.8369529661077214
42,A2,ADASYN,0.384180790960452,0.8394561306196754
42,A2,None,0.30612244897959184,0.8819672597459857
42,A3,With engineered,0.378698224852071,0.8520146207563539
42,A3,Without engineered,0.34146341463414637,0.8285474534567848
42,A4,Boruta,0.378698224852071,0.8520146207563539
42,A4,SelectKBest,0.384180790960452,0.8516448350898153
42,A4,No selection,0.3870967741935484,0.8409210507601941
42,A5,IQR winsorization,0.378698224852071,0.8520146207563539
42,A5,Z-score removal,0.3108108108108108,0.7747481632962206
42,A5,None,0.3894736842105263,0.8508483736541935
42,A7,Oversample then select,0.3974358974358974,0.8354880459672028
42,A7,Select then oversample,0.378698224852071,0.8520146207563539
7,A1,Split then scale,0.4339622641509434,0.8368534084282687
7,A1,Scale then split,0.4339622641509434,0.8368534084282687
7,A2,BorderlineSMOTE,0.3575418994413408,0.8265847449190027
7,A2,SMOTE,0.31952662721893493,0.8086359175662415
7,A2,ADASYN,0.3373493975903614,0.8211944077029198
7,A2,None,0.4339622641509434,0.8368534084282687
7,A3,With engineered,0.3575418994413408,0.8265847449190027
7,A3,Without engineered,0.34355828220858897,0.825788283483381
7,A4,Boruta,0.3575418994413408,0.8265847449190027
7,A4,SelectKBest,0.34782608695652173,0.8246647039581289
7,A4,No selection,0.3950617283950617,0.8128031175776194
7,A5,IQR winsorization,0.3575418994413408,0.8265847449190027
7,A5,Z-score removal,0.3776223776223776,0.8485192759221389
7,A5,None,0.34065934065934067,0.8245651462786762
7,A7,Oversample then select,0.4375,0.8126466697956224
7,A7,Select then oversample,0.3575418994413408,0.8265847449190027
13,A1,Split then scale,0.3541666666666667,0.8773876064911605
13,A1,Scale then split,0.3541666666666667,0.8773876064911605
13,A2,BorderlineSMOTE,0.410958904109589,0.8447895777332138
13,A2,SMOTE,0.410958904109589,0.8300265961229396
13,A2,ADASYN,0.41333333333333333,0.8468945115273571
13,A2,None,0.3541666666666667,0.8773876064911605
13,A3,With engineered,0.410958904109589,0.8447895777332138
13,A3,Without engineered,0.36619718309859156,0.8407219354012886
13,A4,Boruta,0.410958904109589,0.8447895777332138
13,A4,SelectKBest,0.4503311258278146,0.8453300337073858
13,A4,No selection,0.4,0.848828775013867
13,A5,IQR winsorization,0.410958904109589,0.8447895777332138
13,A5,Z-score removal,0.3356643356643357,0.8362304021813225
13,A5,None,0.4166666666666667,0.8488572200651392
13,A7,Oversample then select,0.37681159420289856,0.8467949538479043
13,A7,Select then oversample,0.410958904109589,0.8447895777332138
99,A1,Split then scale,0.3870967741935484,0.8570067272546259
99,A1,Scale then split,0.3870967741935484,0.8570067272546259
99,A2,BorderlineSMOTE,0.43870967741935485,0.8394561306196755
99,A2,SMOTE,0.38596491228070173,0.8453300337073857
99,A2,ADASYN,0.379746835443038,0.8418739599778129
99,A2,None,0.3870967741935484,0.8570067272546259
99,A3,With engineered,0.43870967741935485,0.8394561306196755
99,A3,Without engineered,0.4358974358974359,0.8386454466584177
99,A4,Boruta,0.43870967741935485,0.8394561306196755
99,A4,SelectKBest,0.4121212121212121,0.8501372473723884
99,A4,No selection,0.4155844155844156,0.8331271067116098
99,A5,IQR winsorization,0.43870967741935485,0.8394561306196755
99,A5,Z-score removal,0.2074074074074074,0.791221692039688
99,A5,None,0.39106145251396646,0.8512323818463682
99,A7,Oversample then select,0.45751633986928103,0.843409992746512
99,A7,Select then oversample,0.43870967741935485,0.8394561306196755
2024,A1,Split then scale,0.375,0.8501514698980246
2024,A1,Scale then split,0.375,0.8501514698980246
2024,A2,BorderlineSMOTE,0.294478527607362,0.817055652742814
2024,A2,SMOTE,0.2962962962962963,0.7981539161724339
2024,A2,ADASYN,0.30952380952380953,0.801083756453471
2024,A2,None,0.375,0.8501514698980246
2024,A3,With engineered,0.294478527607362,0.817055652742814
2024,A3,Without engineered,0.2958579881656805,0.8168849824351808
2024,A4,Boruta,0.294478527607362,0.817055652742814
2024,A4,SelectKBest,0.2891566265060241,0.8113950875396453
2024,A4,No selection,0.33962264150943394,0.8167000896019115
2024,A5,IQR winsorization,0.294478527607362,0.817055652742814
2024,A5,Z-score removal,0.26666666666666666,0.8361357267287738
2024,A5,None,0.32786885245901637,0.815263614512665
2024,A7,Oversample then select,0.3333333333333333,0.8124333319110808
2024,A7,Select then oversample,0.294478527607362,0.817055652742814
