method,idx,impl,paper,n_changed,n_changed_mod
standard,460,0.35336095,0.2222222222222222,9,9
standard,460,0.35336095,0.2222222222222222,9,9
standard,460,0.35336095,0.2222222222222222,9,9
standard,438,0.58033514,0.625,8,8
standard,438,0.59474075,0.5555555555555556,9,9
standard,438,0.59474075,0.5555555555555556,9,9
standard,372,0.5666656,0.5555555555555556,9,9
standard,372,0.5666656,0.5555555555555556,9,9
standard,372,0.5666656,0.5555555555555556,9,9
standard,141,0.95214355,0.5,10,10
standard,141,0.95214355,0.5,10,10
standard,141,0.95214355,0.5,10,10
standard,437,0.7606309,0.4,10,10
standard,437,0.9751979,0.45454545454545453,11,11
standard,437,0.9751979,0.45454545454545453,11,11
standard,163,0.7276958,0.4,10,10
standard,163,0.7276958,0.4,10,10
standard,163,0.93850434,0.45454545454545453,11,11
standard,538,0.913905,0.5,10,10
standard,538,0.913905,0.5,10,10
standard,538,0.913905,0.5,10,10
standard,672,0.42564696,0.2222222222222222,9,9
standard,672,0.59742063,0.3,10,10
standard,672,0.5829246,0.3,10,10
standard,659,0.7998776,0.5,10,10
standard,659,0.7998776,0.5,10,10
standard,659,0.7998776,0.5,10,10
standard,944,0.71208006,0.3333333333333333,9,9
standard,944,0.9325552,0.36363636363636365,11,11
standard,944,0.9325552,0.36363636363636365,11,11
standard,428,0.9020591,0.4444444444444444,9,9
standard,428,0.96104676,0.4,10,10
standard,428,0.9020591,0.4444444444444444,9,9
standard,837,0.8671466,0.4,10,10
standard,837,0.8385736,0.4,10,10
standard,837,0.8428826,0.36363636363636365,11,11
standard,722,0.5442064,0.2222222222222222,9,9
standard,722,0.5442064,0.2222222222222222,9,9
standard,722,0.62133116,0.3,10,10
standard,573,0.7980035,0.4,10,10
standard,573,0.7980035,0.4,10,10
standard,573,0.87284106,0.5,10,10
standard,1063,0.5146,0.2222222222222222,9,9
standard,1063,0.788732,0.3333333333333333,9,9
standard,1063,0.8166211,0.3,10,10
standard,950,0.72324157,0.7142857142857143,7,7
standard,950,0.64453137,0.4444444444444444,9,9
standard,950,0.818613,0.5,10,10
standard,978,0.54973423,0.2222222222222222,9,9
standard,978,0.54973423,0.2222222222222222,9,9
standard,978,0.64052707,0.2222222222222222,9,9
standard,377,0.8981599,0.5,10,10
standard,377,0.8981599,0.5,10,10
standard,377,0.8981599,0.5,10,10
standard,10,0.8797441,0.5555555555555556,9,9
standard,10,0.81057775,0.4444444444444444,9,9
standard,10,0.8742144,0.5555555555555556,9,9
standard,32,0.6796763,0.4,10,10
standard,32,0.8760462,0.4,10,10
standard,32,0.97197944,0.45454545454545453,11,11
shap_guided,460,0.6803297,0.5,6,6
shap_guided,460,0.6803297,0.5,6,6
shap_guided,460,0.6803297,0.5,6,6
shap_guided,438,0.48687595,0.8333333333333334,6,6
shap_guided,438,0.48687595,0.8333333333333334,6,6
shap_guided,438,0.7735227,0.8333333333333334,6,6
shap_guided,372,0.47842908,0.8333333333333334,6,6
shap_guided,372,0.47842908,0.8333333333333334,6,6
shap_guided,372,0.47842908,0.8333333333333334,6,6
shap_guided,141,0.8841348,0.8333333333333334,6,6
shap_guided,141,0.8841348,0.8333333333333334,6,6
shap_guided,141,0.8841348,0.8333333333333334,6,6
shap_guided,437,0.6222393,0.6666666666666666,6,6
shap_guided,437,0.6222393,0.6666666666666666,6,6
shap_guided,437,0.6222393,0.6666666666666666,6,6
shap_guided,163,0.55780184,0.8,5,5
shap_guided,163,0.83010596,0.8571428571428571,7,7
shap_guided,163,0.83010596,0.8571428571428571,7,7
shap_guided,538,0.82023895,0.7142857142857143,7,7
shap_guided,538,0.82023895,0.7142857142857143,7,7
shap_guided,538,0.82023895,0.7142857142857143,7,7
shap_guided,672,0.39395973,0.6,5,5
shap_guided,672,0.4734194,0.6666666666666666,6,6
shap_guided,672,0.7315753,0.6666666666666666,6,6
shap_guided,659,0.6494756,0.8333333333333334,6,6
shap_guided,659,0.6494756,0.8333333333333334,6,6
shap_guided,659,0.4757083,0.8333333333333334,6,6
shap_guided,944,0.5032694,0.75,4,4
shap_guided,944,0.7241896,0.8333333333333334,6,6
shap_guided,944,0.72374445,0.6666666666666666,6,6
shap_guided,428,0.8531864,0.5714285714285714,7,7
shap_guided,428,0.8531864,0.5714285714285714,7,7
shap_guided,428,0.8531864,0.5714285714285714,7,7
shap_guided,837,0.62259877,1.0,4,4
shap_guided,837,0.7117501,1.0,5,5
shap_guided,837,0.7117501,1.0,5,5
shap_guided,722,0.41712806,0.6,5,5
shap_guided,722,0.41712806,0.6,5,5
shap_guided,722,0.67480123,0.6,5,5
shap_guided,573,0.74845606,0.8333333333333334,6,6
shap_guided,573,0.74845606,0.8333333333333334,6,6
shap_guided,573,0.73859227,0.6666666666666666,6,6
shap_guided,1063,0.4087148,0.4,5,5
shap_guided,1063,0.4087148,0.4,5,5
shap_guided,1063,0.7107359,0.5,6,6
shap_guided,950,0.5066833,0.8,5,5
shap_guided,950,0.6807649,0.8333333333333334,6,6
shap_guided,950,0.6807649,0.8333333333333334,6,6
shap_guided,978,0.44291547,0.4,5,5
shap_guided,978,0.44291547,0.4,5,5
shap_guided,978,0.53370833,0.4,5,5
shap_guided,377,0.74805397,0.8333333333333334,6,6
