method,idx,valid,proximity_l1,sparsity,concentration
standard_consistent,460,1,8.000000000000004,0.8,0.4357447961243734
standard_consistent,460,1,11.3,0.6,1.0
standard_consistent,460,1,9.099999999999998,0.8,1.0
standard_consistent,438,1,8.299999999999997,0.6,1.0
standard_consistent,438,1,13.299999999999997,0.8,1.0
standard_consistent,438,1,16.499999999999996,0.8,1.0
standard_consistent,372,1,16.199999999999996,0.6,0.9985421192244907
standard_consistent,372,1,17.899999999999995,0.8,1.0
standard_consistent,372,1,20.599999999999994,0.8,0.9091563553104568
standard_consistent,141,1,12.830000000000002,0.6,1.0
standard_consistent,141,1,18.67,1.0,1.0
standard_consistent,141,1,19.83,1.0,1.0
standard_consistent,437,1,27.700000000000006,0.8,0.7640001502957992
standard_consistent,437,1,16.3,0.8,0.8730533240955634
standard_consistent,437,1,18.5,0.8,1.0
standard_consistent,163,1,28.6,0.8,0.6726814198639214
standard_consistent,163,1,44.7,1.0,1.0
standard_consistent,163,1,35.9,0.8,0.9912446394722801
standard_consistent,538,1,11.24,0.8,0.8647388461011216
standard_consistent,538,1,10.74,0.8,0.8647388461011216
standard_consistent,538,1,17.740000000000002,0.8,0.7870702343976239
standard_consistent,672,1,9.299999999999997,0.6,0.8959575349688088
standard_consistent,672,1,13.699999999999998,0.6,0.9627536439202303
standard_consistent,672,1,12.299999999999997,0.6,0.8264520784290778
standard_consistent,659,1,25.500000000000004,0.8,0.5756755285712772
standard_consistent,659,1,17.299999999999997,0.8,0.8291255606125076
standard_consistent,659,1,17.699999999999996,0.6,0.9081998397956974
standard_consistent,944,0,2.900000000000002,0.6,1.0
standard_consistent,944,1,10.0,0.8,0.7625253619086192
standard_consistent,944,1,9.599999999999998,0.6,0.7162400726616528
standard_consistent,428,1,27.380000000000003,0.8,0.8650458630683229
standard_consistent,428,1,25.67999999999999,0.8,0.835501648648546
standard_consistent,428,1,23.380000000000006,0.8,1.0
standard_consistent,837,1,24.1,1.0,1.0
standard_consistent,837,1,26.500000000000004,1.0,1.0
standard_consistent,837,1,18.400000000000002,0.8,0.965309073861475
standard_consistent,722,1,9.299999999999997,0.6,0.8212747903262908
