method,idx,n_ch,implemented,eq1_full,eq1_mod,concentration
standard,460,9,0.35336095,0.2222222222222222,0.4444444444444444,0.37129223
standard,460,9,0.35336095,0.2222222222222222,0.4444444444444444,0.37129223
standard,460,9,0.35336095,0.2222222222222222,0.4444444444444444,0.37129223
standard,438,8,0.58033514,0.625,0.625,0.6303318
standard,438,9,0.59474075,0.5555555555555556,0.5555555555555556,0.62242347
standard,438,9,0.59474075,0.5555555555555556,0.5555555555555556,0.62242347
standard,372,9,0.5666656,0.5555555555555556,0.5555555555555556,0.60041386
standard,372,9,0.5666656,0.5555555555555556,0.5555555555555556,0.60041386
standard,372,9,0.5666656,0.5555555555555556,0.5555555555555556,0.60041386
standard,141,10,0.95214355,0.5,0.5,0.96087956
standard,141,10,0.95214355,0.5,0.5,0.96087956
standard,141,10,0.95214355,0.5,0.5,0.96087956
standard,437,10,0.7606309,0.4,0.5,0.7695544
standard,437,11,0.9751979,0.45454545454545453,0.5454545454545454,0.980294
standard,437,11,0.9751979,0.45454545454545453,0.5454545454545454,0.980294
standard,163,10,0.7276958,0.4,0.4,0.7414193
standard,163,10,0.7276958,0.4,0.4,0.7414193
standard,163,11,0.93850434,0.45454545454545453,0.45454545454545453,0.9461659
standard,538,10,0.913905,0.5,0.5,0.93800956
standard,538,10,0.913905,0.5,0.5,0.93800956
standard,538,10,0.913905,0.5,0.5,0.93800956
standard,672,9,0.42564696,0.2222222222222222,0.3333333333333333,0.46487144
standard,672,10,0.59742063,0.3,0.4,0.6283746
standard,672,10,0.5829246,0.3,0.4,0.6131274
standard,659,10,0.7998776,0.5,0.5,0.8154065
standard,659,10,0.7998776,0.5,0.5,0.8154065
standard,659,10,0.7998776,0.5,0.5,0.8154065
standard,944,9,0.71208006,0.3333333333333333,0.3333333333333333,0.7704572
standard,944,11,0.9325552,0.36363636363636365,0.45454545454545453,0.94540197
standard,944,11,0.9325552,0.36363636363636365,0.45454545454545453,0.94540197
standard,428,9,0.9020591,0.4444444444444444,0.6666666666666666,0.94218355
standard,428,10,0.96104676,0.4,0.6,0.9707318
standard,428,9,0.9020591,0.4444444444444444,0.6666666666666666,0.94218355
standard,837,10,0.8671466,0.4,0.5,0.89841264
standard,837,10,0.8385736,0.4,0.4,0.86880934
standard,837,11,0.8428826,0.36363636363636365,0.45454545454545453,0.8501655
standard,722,9,0.5442064,0.2222222222222222,0.4444444444444444,0.6115692
standard,722,9,0.5442064,0.2222222222222222,0.4444444444444444,0.6115692
standard,722,10,0.62133116,0.3,0.5,0.6664693
standard,573,10,0.7980035,0.4,0.5,0.82568866
standard,573,10,0.7980035,0.4,0.5,0.82568866
standard,573,10,0.87284106,0.5,0.5,0.90312254
standard,1063,9,0.5146,0.2222222222222222,0.4444444444444444,0.54853594
