experiment,configuration,F1_mean,F1_sd,AUC_mean,AUC_sd,n
A1,Scale then split,0.3713,0.0467,0.8607,0.0189,5
A1,Split then scale,0.3713,0.0467,0.8607,0.0189,5
A2,ADASYN,0.3648,0.0411,0.8301,0.0189,5
A2,BorderlineSMOTE,0.3761,0.0551,0.836,0.0141,5
A2,None,0.3713,0.0467,0.8607,0.0189,5
A2,SMOTE,0.3515,0.047,0.8238,0.0198,5
A3,With engineered,0.3761,0.0551,0.836,0.0141,5
A3,Without engineered,0.3566,0.0512,0.8301,0.0098,5
A4,Boruta,0.3761,0.0551,0.836,0.0141,5
A4,No selection,0.3875,0.0287,0.8305,0.0155,5
A4,SelectKBest,0.3767,0.0617,0.8366,0.0178,5
A5,IQR winsorization,0.3761,0.0551,0.836,0.0141,5
A5,None,0.3731,0.0374,0.8382,0.017,5
A5,Z-score removal,0.2996,0.0654,0.8174,0.0323,5
A7,Oversample then select,0.4005,0.0492,0.8302,0.0166,5
A7,Select then oversample,0.3761,0.0551,0.836,0.0141,5
